patent, lon, lat
03858247,-118.394799,34.001758
03858252,-118.187712,33.767496
03858254,-121.692678,39.415882
03858258,-118.39546,33.874322
03858281,-122.381529,37.947097
03858282,-118.448333,34.151111
03858291,-118.366667,33.766667
03858304,-118.82262,34.19292
03858304,-118.82262,34.19292
03858304,-118.92648,34.18536
03858317,-121.526563,38.580708
03858317,-118.454395,34.201899
03858321,-118.328416,33.825599
03858323,-122.537057,37.94739
03858328,-118.366667,33.766667
03858332,-122.258486,37.868252
03858339,-118.394799,34.001758
